OBJECTID,Treatment,Temperature,Time,DN,K,AvgTemp,TempDifference
4206,0,28.34,0,44614.44444,301.4930634,30.05,-1.71
4447,0,28.39,0,44627,301.53597854,30.05,-1.66
5974,0,25.31,0,43725.75,298.455488015,30.05,-4.74
9111,0,29.3,0,44894.35714,302.449810601429,30.05,-0.75
13206,0,27.63,0,44407,300.78401414,30.05,-2.41
13584,0,28.28,0,44594.75,301.425747395,30.05,-1.77
16939,0,26.05,0,43945,299.2048889,30.05,-3.99
17452,0,24.55,0,43505,297.7009601,30.05,-5.5
18096,0,27.97,0,44504.6,301.117612892,30.05,-2.08
18097,0,30.88,0,45355.5,304.02600611,30.05,0.83
18228,0,25.53,0,43790,298.6750958,30.05,-4.52
18350,0,27.25,0,44293.2,300.395043464,30.05,-2.8
18501,0,25.88,0,43894.5,299.03227889,30.05,-4.17
18779,0,30.76,0,45323,303.91492046,30.05,0.72
22757,0,29.16,0,44852.1,302.305374842,30.05,-0.89
24216,0,25.27,0,43716,298.42216232,30.05,-4.78
24293,0,27.91,0,44488.5,301.06258277,30.05,-2.14
24526,0,28.61,0,44692.5,301.75985885,30.05,-1.44
25891,0,23.23,0,43118.5,296.37989537,30.05,-6.82
26056,0,28.65,0,44705.2,301.803267704,30.05,-1.4
26553,0,23.18,0,43105,296.3337521,30.05,-6.86
29438,0,29.03,0,44816.5,302.18369333,30.05,-1.02
29504,0,28.46,0,44647.25,301.605193445,30.05,-1.59
30474,0,24.76,0,43567,297.91287734,30.05,-5.29
31648,0,29.38,0,44916.83333,302.52663467,30.05,-0.67
33101,0,30.81,0,45337.5,303.96448175,30.05,0.77
33680,0,29.33,0,44903.38462,302.480666683077,30.05,-0.72
34629,0,28.55,0,44674.5,301.69833449,30.05,-1.5
37098,0,29.41,0,44925.16667,302.55511817,30.05,-0.64
38984,0,28.97,0,44797.5,302.11875095,30.05,-1.08
40613,1,26.06,0,43946.17647,299.2089101,30.05,-3.99
40666,0,29.86,0,45059,303.01256318,30.05,-0.19
43140,0,31.45,0,45524.8,304.604676896,30.05,1.41
43283,0,26.57,0,44096.5,299.72271893,30.05,-3.48
43597,0,26.9,0,44192.16667,300.04970951,30.05,-3.15
43705,0,29.73,0,45019,302.87584238,30.05,-0.32
45302,0,23.54,0,43208.16667,296.68637783,30.05,-6.51
45625,0,28.11,0,44545,301.2557009,30.05,-1.94
48329,0,26.59,0,44102.25,299.742372545,30.05,-3.46
48567,0,27.4,0,44338.75,300.550734275,30.05,-2.65
48983,0,30.13,0,45137.66667,303.28144742,30.05,0.08
49199,0,32.2,0,45742.8,305.349805256,30.05,2.15
49295,0,22.99,0,43049,296.14234298,30.05,-7.06
50481,0,28.47,0,44650.5,301.61630201,30.05,-1.58
51319,0,29.84,0,45053.5,302.99376407,30.05,-0.2
51407,0,32.67,0,45879.27273,305.816271767273,30.05,2.62
53194,0,23.49,0,43194,296.63795588,30.05,-6.56
53650,0,33.6,0,46151.8,306.747775436,30.05,3.55
54372,0,28.6,0,44689,301.74789578,30.05,-1.45
54410,0,32.32,0,45778,305.47011956,30.05,2.27
57958,0,27.7,0,44427,300.85237454,30.05,-2.35
58270,0,28.85,0,44762.66667,301.99968992,30.05,-1.2
58271,0,23.35,0,43154,296.50123508,30.05,-6.7
59263,0,28.32,0,44607.54545,301.469482514545,30.05,-1.73
60544,0,28.33,0,44609.2,301.475137784,30.05,-1.72
61642,0,31.86,0,45643,305.00868686,30.05,1.81
62213,0,30.72,0,45309.75,303.869631695,30.05,0.67
63034,0,31.98,0,45679,305.13173558,30.05,1.93
64175,0,31.16,0,45437.33333,304.30571408,30.05,1.11
64230,0,27.49,0,44365,300.6404573,30.05,-2.56
64432,0,34.17,0,46320,307.3226864,30.05,4.12
66552,0,32.81,0,45920.5,305.95718741,30.05,2.76
67008,0,21.83,0,42707.5,294.97508915,30.05,-8.22
67509,0,26.46,0,44062.33333,299.60593658,30.05,-3.59
68046,0,32.11,0,45717.5,305.26332935,30.05,2.06
69622,0,32.14,0,45725,305.2889645,30.05,2.09
70128,0,27.6,0,44395.71429,300.745439342857,30.05,-2.45
70294,0,32.17,0,45734,305.31972668,30.05,2.12
70360,0,32.17,0,45734,305.31972668,30.05,2.12
70612,0,33.64,0,46163.26667,306.786968732,30.05,3.59
70743,0,30.76,0,45322.5,303.91321145,30.05,0.71
71097,0,31.61,0,45570,304.7591714,30.05,1.56
71153,0,30.6,0,45275,303.7508555,30.05,0.55
71154,0,29.19,0,44861.375,302.3370769775,30.05,-0.86
71399,0,32.75,0,45902.5,305.89566305,30.05,2.7
72246,0,33.5,0,46122.55556,306.64781734,30.05,3.45
73442,0,32.09,0,45711.5,305.24282123,30.05,2.04
73505,0,27.77,0,44445.88889,300.91693714,30.05,-2.28
73669,0,29.56,0,44969.75,302.707504895,30.05,-0.49
73747,0,32.27,0,45763,305.41884926,30.05,2.22
73776,0,28.73,0,44727,301.87778054,30.05,-1.32
74795,0,33.29,0,46062.5,306.44254625,30.05,3.24
75040,1,30.57,0,45265.5,303.71838431,30.05,0.52
75044,0,27.52,0,44373,300.66780146,30.05,-2.53
75367,0,26.74,0,44144.33333,299.88621422,30.05,-3.31
76965,0,33.72,0,46189,306.87492578,30.05,3.68
77012,0,34,0,46268.75,307.147512875,30.05,3.95
77236,0,34.64,0,46457.7,307.793347754,30.05,4.59
77542,0,33.07,0,45998.71429,306.224525402857,30.05,3.03
77776,0,34.24,0,46341,307.39446482,30.05,4.2
77881,0,30.87,0,45354.71429,304.023320522857,30.05,0.82
78220,0,32.8,0,45917,305.94522434,30.05,2.75
78412,0,27.13,0,44259.5,300.27985619,30.05,-2.92
78521,0,32.92,0,45953,306.06827306,30.05,2.87
78650,0,33.39,0,46091.33333,306.54109916,30.05,3.34
78732,0,32.45,0,45815,305.5965863,30.05,2.4
78745,0,33.25,0,46050.66667,306.40209968,30.05,3.2
79020,0,31.47,0,45528,304.61561456,30.05,1.42
79047,1,32.7,0,45890,305.8529378,30.05,2.65
79226,0,28.54,0,44672,301.68978944,30.05,-1.51
79654,0,28.61,0,44693,301.76156786,30.05,-1.44
79700,0,30.34,0,45198.7,303.490060574,30.05,0.29
79969,0,33.05,0,45991.66667,306.2004365,30.05,3
80192,0,24.92,0,43612,298.06668824,30.05,-5.13
81127,0,32.06,0,45701,305.20693202,30.05,2.01
81395,0,31.93,0,45665,305.0838833,30.05,1.89
81439,0,29.61,0,44984.5,302.75792069,30.05,-0.44
82461,0,29.79,0,45036.6,302.935999532,30.05,-0.26
82696,0,25.18,0,43690,298.3332938,30.05,-4.87
82928,0,31.94,0,45667.5,305.09242835,30.05,1.89
84118,0,26.11,0,43960.11111,299.25653898,30.05,-3.94
84858,0,32.54,0,45841.16667,305.68602449,30.05,2.49
84975,0,28.72,0,44724.5,301.86923549,30.05,-1.33
85064,0,32.92,0,45952.07143,306.065099184286,30.05,2.87
85519,0,29.01,0,44809.85714,302.160987911429,30.05,-1.04
85631,0,30.89,0,45360,304.0413872,30.05,0.84
85829,0,31.22,0,45455.8,304.368833516,30.05,1.17
85993,0,30.87,0,45352.6,304.016093852,30.05,0.82
86176,0,31.72,0,45601,304.86513002,30.05,1.67
87045,0,27.5,0,44367.5,300.64900235,30.05,-2.55
87191,0,34.05,0,46283,307.19621966,30.05,4
87427,0,31.36,0,45496.75,304.508801435,30.05,1.31
87440,0,31.58,0,45560.5,304.72670021,30.05,1.53
88312,0,30.81,0,45336.57143,303.961307874286,30.05,0.76
88388,0,32.28,0,45766,305.42910332,30.05,2.23
88979,0,31.61,0,45571.5,304.76429843,30.05,1.57
89519,0,31.36,0,45497,304.50965594,30.05,1.31
90329,0,33.62,0,46158,306.76896716,30.05,3.57
90510,0,30.73,0,45313,303.88074026,30.05,0.68
90538,0,31.06,0,45408.8,304.208186576,30.05,1.01
90647,0,31.02,0,45397.5,304.16956295,30.05,0.97
90999,0,31.08,0,45414,304.22596028,30.05,1.03
91144,0,30.55,0,45259.5,303.69787619,30.05,0.5
91264,0,31.82,0,45632,304.97108864,30.05,1.77
91435,0,32.93,0,45955,306.0751091,30.05,2.88
91936,0,31.99,0,45681,305.13857162,30.05,1.94
92073,0,32.05,0,45698.16667,305.19724763,30.05,2
92137,0,29.91,0,45073,303.06041546,30.05,-0.14
93827,1,30.44,0,45227.42857,303.588255405714,30.05,0.39
94058,0,32.33,0,45782,305.48379164,30.05,2.29
94195,0,25.78,0,43864.5,298.92973829,30.05,-4.27
94489,0,30.99,0,45389.16667,304.14107945,30.05,0.94
94705,0,32.21,0,45745.25,305.358179405,30.05,2.16
95464,0,31.75,0,45611.14286,304.899798508571,30.05,1.7
95603,0,31.51,0,45542,304.66346684,30.05,1.46
95809,0,31.03,0,45399.75,304.177253495,30.05,0.98
95997,0,30.61,0,45278.5,303.76281857,30.05,0.56
96028,0,32.23,0,45752.33333,305.38239038,30.05,2.18
96170,0,32.06,0,45701,305.20693202,30.05,2.01
96206,0,33.34,0,46075.5,306.48698051,30.05,3.29
96272,0,32.47,0,45822.83333,305.62336079,30.05,2.42
96741,0,31.46,0,45527,304.61219654,30.05,1.41
96799,0,28.97,0,44798.55556,302.12235886,30.05,-1.08
96821,0,30.64,0,45287,303.79187174,30.05,0.59
96926,0,29.48,0,44948.27778,302.63411241,30.05,-0.56
96927,0,28.57,0,44680.36364,301.718376516364,30.05,-1.48
97392,0,29.45,0,44938.875,302.6019735275,30.05,-0.6
97451,0,30.73,0,45312,303.87732224,30.05,0.68
97819,0,29.62,0,44988,302.76988376,30.05,-0.43
97960,0,31.89,0,45651,305.03603102,30.05,1.84
97981,0,31.3,0,45479.83333,304.45097993,30.05,1.25
98077,0,29.19,0,44863.4,302.343998468,30.05,-0.85
98120,0,31.88,0,45648.44444,305.02729608,30.05,1.83
98161,0,31.23,0,45460.52941,304.38499874,30.05,1.19
98290,0,30.39,0,45213.16667,303.53950793,30.05,0.34
98333,0,30.09,0,45124.63636,303.236909583636,30.05,0.04
98637,0,31.71,0,45598.5,304.85658497,30.05,1.66
98863,0,32.26,0,45761,305.41201322,30.05,2.21
99150,0,29.51,0,44955.5,302.65879811,30.05,-0.54
99423,0,31.83,0,45634,304.97792468,30.05,1.78
99452,0,33.19,0,46032.125,306.3387238925,30.05,3.14
99520,0,30.34,0,45199.83333,303.49393433,30.05,0.3
99529,0,32.35,0,45786,305.49746372,30.05,2.3
99920,0,31.16,0,45440,304.3148288,30.05,1.12
100323,0,29.26,0,44881.66667,302.4064343,30.05,-0.79
100406,0,32.7,0,45889,305.84951978,30.05,2.65
100731,0,30.07,0,45119.8,303.220378796,30.05,0.02
101079,0,31.18,0,45443.25,304.325937365,30.05,1.13
101092,0,30.85,0,45348.4,304.001738168,30.05,0.8
101267,0,31.34,0,45491.75,304.491711335,30.05,1.29
101313,0,33.99,0,46265.6,307.136746112,30.05,3.94
101706,0,29.79,0,45036.71429,302.936390162857,30.05,-0.26
101852,0,29.13,0,44845,302.2811069,30.05,-0.92
102262,0,32.59,0,45855.83333,305.73615545,30.05,2.54
102280,0,30.07,0,45119,303.21764438,30.05,0.02
102880,0,36.28,0,46936.33333,309.42932606,30.05,6.23
102971,0,31.16,0,45440,304.3148288,30.05,1.12
103336,0,29.72,0,45018.7,302.874816974,30.05,-0.32
103480,0,29.62,0,44987.25,302.767320245,30.05,-0.43
103748,0,33.78,0,46205.55556,306.931513,30.05,3.73
103785,0,30.06,0,45115.44444,303.20549142,30.05,0.01
103846,0,30.54,0,45258.33333,303.6938885,30.05,0.5
104685,0,29.37,0,44915.33333,302.52150764,30.05,-0.68
104742,0,31.76,0,45613.90909,304.909253550909,30.05,1.71
104744,0,29.13,0,44844.5,302.27939789,30.05,-0.92
104848,0,32.13,0,45722.33333,305.27984978,30.05,2.08
104955,0,28.12,0,44549.94118,301.27258994,30.05,-1.93
105154,0,31.23,0,45460,304.3831892,30.05,1.18
105484,1,31.64,0,45579.44444,304.7914527,30.05,1.59
105714,0,31.76,0,45614.5,304.91127329,30.05,1.71
106017,0,30.48,0,45239.66667,303.63008546,30.05,0.43
106596,0,29.46,0,44942.66667,302.61493352,30.05,-0.58
106675,0,27.71,0,44428.61538,300.857895956923,30.05,-2.34
106931,0,29.17,0,44857,302.32212314,30.05,-0.88
107087,0,29.84,0,45053.75,302.994618575,30.05,-0.2
107548,0,28.7,0,44718,301.84701836,30.05,-1.35
107722,0,31.53,0,45546,304.67713892,30.05,1.48
107750,0,30.08,0,45122.33333,303.22903778,30.05,0.03
107753,0,34.39,0,46382.5,307.53631265,30.05,4.34
107776,0,32.28,0,45765,305.4256853,30.05,2.23
108088,0,31.68,0,45589.44444,304.8256329,30.05,1.63
108089,0,33.07,0,45995.94444,306.21505803,30.05,3.02
108097,0,29.69,0,45007.8,302.837560556,30.05,-0.36
108154,0,33.87,0,46230,307.0150646,30.05,3.82
108200,0,31.82,0,45631.75,304.970234135,30.05,1.77
108228,0,31.86,0,45644,305.01210488,30.05,1.81
108662,0,31.51,0,45540.3125,304.65769893125,30.05,1.46
108989,0,29.37,0,44914.03704,302.517076873333,30.05,-0.68
109029,0,29.32,0,44901.45455,302.474069665455,30.05,-0.72
109105,0,31.77,0,45617,304.91981834,30.05,1.72
109515,0,31.15,0,45434.5,304.29602969,30.05,1.1
110541,0,31.62,0,45573,304.76942546,30.05,1.57
110785,0,30.41,0,45219.09091,303.559757109091,30.05,0.36
111956,0,29.23,0,44875.23077,302.384436273846,30.05,-0.81
112668,0,30.93,0,45372.66667,304.08468212,30.05,0.89
114155,0,30.22,0,45165,303.3748733,30.05,0.18
114471,0,30.65,0,45289.66667,303.80098646,30.05,0.6
114960,0,30.31,0,45188.75,303.456051275,30.05,0.26
115652,0,29.87,0,45060.77143,303.018617958286,30.05,-0.18
116399,0,30.73,0,45313.3,303.881765666,30.05,0.68
116459,0,30.57,0,45266,303.72009332,30.05,0.52
116504,0,30.36,0,45205,303.5115941,30.05,0.31
117102,0,30.84,0,45345.5,303.99182591,30.05,0.79
117156,0,29.91,0,45072,303.05699744,30.05,-0.14
118718,0,30.44,0,45228,303.59020856,30.05,0.39
118891,0,27.92,0,44489.9375,301.06749617375,30.05,-2.13
121894,0,29.45,0,44938.66667,302.60126144,30.05,-0.6
122614,0,30.89,0,45359.5,304.03967819,30.05,0.84
123128,0,28.13,0,44551,301.27620902,30.05,-1.92
123228,0,30.66,0,45293.5,303.81408887,30.05,0.62
123536,0,30.67,0,45294.41176,303.8172053,30.05,0.62
124244,0,28.87,0,44770,302.0247554,30.05,-1.17
125146,0,29.56,0,44971,302.71177742,30.05,-0.49
126109,0,29.02,0,44812.07692,302.168575164615,30.05,-1.03
126587,0,30.07,0,45121,303.22448042,30.05,0.03
126869,0,29.89,0,45066,303.03648932,30.05,-0.16
127868,0,29.36,0,44912.5,302.51182325,30.05,-0.69
128212,0,30.29,0,45184.75,303.442379195,30.05,0.24
128622,0,29.06,0,44823,302.20591046,30.05,-0.99
130590,0,31.71,0,45600.85714,304.864641731429,30.05,1.67
131080,0,30.68,0,45298.23077,303.830258733846,30.05,0.63
131572,0,29.73,0,45019.5,302.87755139,30.05,-0.32
131840,0,31.24,0,45462.1,304.390367042,30.05,1.19
132234,0,30.55,0,45260.90909,303.702692490909,30.05,0.5
132402,0,30.59,0,45271.75,303.739746935,30.05,0.54
133071,0,30.33,0,45194.81818,303.476792441818,30.05,0.28
133243,0,30.93,0,45371,304.07898542,30.05,0.88
133942,0,31.27,0,45470.83333,304.42021775,30.05,1.22
137134,0,31.2,0,45451,304.35242702,30.05,1.15
137372,0,29.85,0,45054.75,302.998036595,30.05,-0.2
138149,0,30.42,0,45222.8,303.572434856,30.05,0.37
138652,0,31.42,0,45516,304.57459832,30.05,1.38
138749,0,30.12,0,45135,303.2723327,30.05,0.07
139127,0,29.8,0,45039.66667,302.94648146,30.05,-0.25
139266,0,26.47,0,44066.1,299.618811122,30.05,-3.58
139337,0,25.92,0,43904.83333,299.06759843,30.05,-4.13
139453,0,29.97,0,45091.875,303.1249305875,30.05,-0.07
139491,0,27.12,0,44256.83333,300.27074147,30.05,-2.93
139816,0,31.7,0,45595.2,304.845305504,30.05,1.65
139937,0,26.77,0,44153.2,299.916520664,30.05,-3.28
140316,1,32.32,0,45779,305.47353758,30.05,2.27
140378,1,31.85,0,45640.31818,304.999520351818,30.05,1.8
140399,0,20.9,0,42437.75,294.053078255,30.05,-9.15
140886,0,21.92,0,42736,295.07250272,30.05,-8.13
141265,0,30.45,0,45231,303.60046262,30.05,0.4
142491,0,32.41,0,45804,305.55898808,30.05,2.36
145676,0,24.18,0,43395.75,297.327541415,30.05,-5.87
145855,0,30.2,0,45158.33333,303.3520865,30.05,0.15
146181,0,27.62,0,44402.5,300.76863305,30.05,-2.43
146362,0,30.65,0,45290,303.8021258,30.05,0.6
146575,0,31.1,0,45422,304.25330444,30.05,1.05
147238,1,28.14,0,44554.5,301.28817209,30.05,-1.91
148089,0,25.67,0,43832.33333,298.81979198,30.05,-4.38
150955,0,26.31,0,44021,299.46465842,30.05,-3.73
151385,0,29.74,0,45022.07692,302.886359364615,30.05,-0.31
151961,0,23.82,0,43291.74627,296.972054581194,30.05,-6.23
160888,0,31.22,0,45457.42857,304.374400005714,30.05,1.18
